date,start_time,end_time,stage,activity_level
2026-03-01,2026-03-01T01:28:08.0,2026-03-01T01:33:08.0,light,1.0
2026-03-01,2026-03-01T01:33:08.0,2026-03-01T02:24:08.0,deep,0.0
2026-03-01,2026-03-01T02:24:08.0,2026-03-01T03:09:08.0,light,1.0
2026-03-01,2026-03-01T03:09:08.0,2026-03-01T03:12:08.0,awake,3.0
2026-03-01,2026-03-01T03:12:08.0,2026-03-01T03:22:08.0,light,1.0
2026-03-01,2026-03-01T03:22:08.0,2026-03-01T03:57:08.0,deep,0.0
2026-03-01,2026-03-01T03:57:08.0,2026-03-01T04:03:08.0,awake,3.0
2026-03-01,2026-03-01T04:03:08.0,2026-03-01T04:11:08.0,light,1.0
2026-03-01,2026-03-01T04:11:08.0,2026-03-01T04:22:08.0,rem,2.0
2026-03-01,2026-03-01T04:22:08.0,2026-03-01T04:30:08.0,light,1.0
2026-03-01,2026-03-01T04:30:08.0,2026-03-01T04:38:08.0,rem,2.0
2026-03-01,2026-03-01T04:38:08.0,2026-03-01T05:01:08.0,light,1.0
2026-03-01,2026-03-01T05:01:08.0,2026-03-01T05:06:08.0,deep,0.0
2026-03-01,2026-03-01T05:06:08.0,2026-03-01T05:08:08.0,awake,3.0
2026-03-01,2026-03-01T05:08:08.0,2026-03-01T05:19:08.0,light,1.0
2026-03-01,2026-03-01T05:19:08.0,2026-03-01T05:38:08.0,deep,0.0
2026-03-01,2026-03-01T05:38:08.0,2026-03-01T05:45:08.0,light,1.0
2026-03-01,2026-03-01T05:45:08.0,2026-03-01T06:07:08.0,rem,2.0
2026-03-01,2026-03-01T06:07:08.0,2026-03-01T06:08:08.0,awake,3.0
2026-03-01,2026-03-01T06:08:08.0,2026-03-01T07:02:08.0,light,1.0
2026-03-01,2026-03-01T07:02:08.0,2026-03-01T07:45:08.0,rem,2.0
2026-03-01,2026-03-01T07:45:08.0,2026-03-01T08:50:08.0,light,1.0
2026-03-02,2026-03-02T00:37:19.0,2026-03-02T00:46:19.0,light,1.0
2026-03-02,2026-03-02T00:46:19.0,2026-03-02T01:32:19.0,deep,0.0
2026-03-02,2026-03-02T01:32:19.0,2026-03-02T01:58:19.0,light,1.0
2026-03-02,2026-03-02T01:58:19.0,2026-03-02T02:17:19.0,rem,2.0
2026-03-02,2026-03-02T02:17:19.0,2026-03-02T02:22:19.0,light,1.0
2026-03-02,2026-03-02T02:22:19.0,2026-03-02T02:23:19.0,awake,3.0
2026-03-02,2026-03-02T02:23:19.0,2026-03-02T02:36:19.0,light,1.0
2026-03-02,2026-03-02T02:36:19.0,2026-03-02T02:57:19.0,deep,0.0
2026-03-02,2026-03-02T02:57:19.0,2026-03-02T03:28:19.0,light,1.0
2026-03-02,2026-03-02T03:28:19.0,2026-03-02T03:38:19.0,rem,2.0
2026-03-02,2026-03-02T03:38:19.0,2026-03-02T04:32:19.0,light,1.0
2026-03-02,2026-03-02T04:32:19.0,2026-03-02T04:45:19.0,rem,2.0
2026-03-02,2026-03-02T04:45:19.0,2026-03-02T05:26:19.0,light,1.0
2026-03-02,2026-03-02T05:26:19.0,2026-03-02T05:36:19.0,rem,2.0
2026-03-02,2026-03-02T05:36:19.0,2026-03-02T06:20:19.0,light,1.0
2026-03-02,2026-03-02T06:20:19.0,2026-03-02T06:35:19.0,deep,0.0
2026-03-03,2026-03-03T01:16:30.0,2026-03-03T01:26:30.0,light,1.0
2026-03-03,2026-03-03T01:26:30.0,2026-03-03T02:06:30.0,deep,0.0
2026-03-03,2026-03-03T02:06:30.0,2026-03-03T02:38:30.0,light,1.0
2026-03-03,2026-03-03T02:38:30.0,2026-03-03T02:40:30.0,awake,3.0
2026-03-03,2026-03-03T02:40:30.0,2026-03-03T02:48:30.0,light,1.0
2026-03-03,2026-03-03T02:48:30.0,2026-03-03T03:01:30.0,deep,0.0
2026-03-03,2026-03-03T03:01:30.0,2026-03-03T03:06:30.0,light,1.0
2026-03-03,2026-03-03T03:06:30.0,2026-03-03T03:32:30.0,deep,0.0
2026-03-03,2026-03-03T03:32:30.0,2026-03-03T03:45:30.0,light,1.0
2026-03-03,2026-03-03T03:45:30.0,2026-03-03T03:50:30.0,awake,3.0
2026-03-03,2026-03-03T03:50:30.0,2026-03-03T04:07:30.0,light,1.0
2026-03-03,2026-03-03T04:07:30.0,2026-03-03T04:37:30.0,deep,0.0
2026-03-03,2026-03-03T04:37:30.0,2026-03-03T04:58:30.0,light,1.0
2026-03-03,2026-03-03T04:58:30.0,2026-03-03T05:29:30.0,rem,2.0
2026-03-03,2026-03-03T05:29:30.0,2026-03-03T06:11:30.0,light,1.0
2026-03-03,2026-03-03T06:11:30.0,2026-03-03T06:30:30.0,deep,0.0
2026-03-03,2026-03-03T06:30:30.0,2026-03-03T06:39:30.0,light,1.0
2026-03-03,2026-03-03T06:39:30.0,2026-03-03T07:11:30.0,rem,2.0
2026-03-03,2026-03-03T07:11:30.0,2026-03-03T08:06:30.0,light,1.0
2026-03-03,2026-03-03T08:06:30.0,2026-03-03T08:40:55.0,rem,2.0
2026-03-04,2026-03-04T00:36:10.0,2026-03-04T00:37:10.0,light,1.0
2026-03-04,2026-03-04T00:37:10.0,2026-03-04T01:20:10.0,deep,0.0
2026-03-04,2026-03-04T01:20:10.0,2026-03-04T02:09:10.0,light,1.0
2026-03-04,2026-03-04T02:09:10.0,2026-03-04T02:38:10.0,deep,0.0
2026-03-04,2026-03-04T02:38:10.0,2026-03-04T02:43:10.0,awake,3.0
2026-03-04,2026-03-04T02:43:10.0,2026-03-04T02:49:10.0,light,1.0
2026-03-04,2026-03-04T02:49:10.0,2026-03-04T02:55:10.0,deep,0.0
2026-03-04,2026-03-04T02:55:10.0,2026-03-04T02:59:10.0,awake,3.0
2026-03-04,2026-03-04T02:59:10.0,2026-03-04T03:09:10.0,light,1.0
2026-03-04,2026-03-04T03:09:10.0,2026-03-04T03:12:10.0,awake,3.0
2026-03-04,2026-03-04T03:12:10.0,2026-03-04T03:18:10.0,light,1.0
2026-03-04,2026-03-04T03:18:10.0,2026-03-04T03:41:10.0,rem,2.0
2026-03-04,2026-03-04T03:41:10.0,2026-03-04T03:52:10.0,light,1.0
2026-03-04,2026-03-04T03:52:10.0,2026-03-04T04:09:10.0,deep,0.0
2026-03-04,2026-03-04T04:09:10.0,2026-03-04T04:23:10.0,light,1.0
2026-03-04,2026-03-04T04:23:10.0,2026-03-04T04:55:10.0,deep,0.0
2026-03-04,2026-03-04T04:55:10.0,2026-03-04T05:05:10.0,light,1.0
2026-03-04,2026-03-04T05:05:10.0,2026-03-04T05:58:10.0,rem,2.0
2026-03-04,2026-03-04T05:58:10.0,2026-03-04T07:07:58.0,light,1.0
2026-03-05,2026-03-05T01:03:33.0,2026-03-05T01:13:33.0,light,1.0
2026-03-05,2026-03-05T01:13:33.0,2026-03-05T01:51:33.0,deep,0.0
2026-03-05,2026-03-05T01:51:33.0,2026-03-05T02:46:33.0,light,1.0
2026-03-05,2026-03-05T02:46:33.0,2026-03-05T02:52:33.0,awake,3.0
2026-03-05,2026-03-05T02:52:33.0,2026-03-05T03:03:33.0,light,1.0
2026-03-05,2026-03-05T03:03:33.0,2026-03-05T03:20:33.0,deep,0.0
2026-03-05,2026-03-05T03:20:33.0,2026-03-05T04:00:33.0,light,1.0
2026-03-05,2026-03-05T04:00:33.0,2026-03-05T04:16:33.0,deep,0.0
2026-03-05,2026-03-05T04:16:33.0,2026-03-05T04:33:33.0,light,1.0
2026-03-05,2026-03-05T04:33:33.0,2026-03-05T05:07:33.0,rem,2.0
2026-03-05,2026-03-05T05:07:33.0,2026-03-05T05:22:33.0,light,1.0
2026-03-05,2026-03-05T05:22:33.0,2026-03-05T05:29:33.0,deep,0.0
2026-03-05,2026-03-05T05:29:33.0,2026-03-05T06:21:33.0,light,1.0
2026-03-05,2026-03-05T06:21:33.0,2026-03-05T06:57:33.0,rem,2.0
2026-03-05,2026-03-05T06:57:33.0,2026-03-05T07:20:33.0,light,1.0
2026-03-06,2026-03-06T00:19:05.0,2026-03-06T00:29:05.0,light,1.0
2026-03-06,2026-03-06T00:29:05.0,2026-03-06T01:13:05.0,deep,0.0
2026-03-06,2026-03-06T01:13:05.0,2026-03-06T01:38:05.0,light,1.0
2026-03-06,2026-03-06T01:38:05.0,2026-03-06T01:56:05.0,deep,0.0
2026-03-06,2026-03-06T01:56:05.0,2026-03-06T01:58:05.0,awake,3.0
2026-03-06,2026-03-06T01:58:05.0,2026-03-06T02:22:05.0,light,1.0
2026-03-06,2026-03-06T02:22:05.0,2026-03-06T02:38:05.0,deep,0.0
2026-03-06,2026-03-06T02:38:05.0,2026-03-06T03:05:05.0,light,1.0
2026-03-06,2026-03-06T03:05:05.0,2026-03-06T03:19:05.0,deep,0.0
2026-03-06,2026-03-06T03:19:05.0,2026-03-06T03:24:05.0,light,1.0
2026-03-06,2026-03-06T03:24:05.0,2026-03-06T03:30:05.0,awake,3.0
2026-03-06,2026-03-06T03:30:05.0,2026-03-06T03:46:05.0,light,1.0
2026-03-06,2026-03-06T03:46:05.0,2026-03-06T03:58:05.0,deep,0.0
2026-03-06,2026-03-06T03:58:05.0,2026-03-06T04:10:05.0,light,1.0
2026-03-06,2026-03-06T04:10:05.0,2026-03-06T04:43:05.0,rem,2.0
2026-03-06,2026-03-06T04:43:05.0,2026-03-06T05:12:05.0,light,1.0
2026-03-06,2026-03-06T05:12:05.0,2026-03-06T05:21:05.0,awake,3.0
2026-03-06,2026-03-06T05:21:05.0,2026-03-06T05:49:05.0,light,1.0
2026-03-06,2026-03-06T05:49:05.0,2026-03-06T06:13:05.0,rem,2.0
2026-03-06,2026-03-06T06:13:05.0,2026-03-06T07:35:05.0,light,1.0
2026-03-06,2026-03-06T07:35:05.0,2026-03-06T08:08:02.0,rem,2.0
2026-03-07,2026-03-07T00:44:03.0,2026-03-07T00:54:03.0,light,1.0
2026-03-07,2026-03-07T00:54:03.0,2026-03-07T01:33:03.0,deep,0.0
2026-03-07,2026-03-07T01:33:03.0,2026-03-07T01:40:03.0,light,1.0
2026-03-07,2026-03-07T01:40:03.0,2026-03-07T02:15:03.0,rem,2.0
2026-03-07,2026-03-07T02:15:03.0,2026-03-07T03:13:03.0,light,1.0
2026-03-07,2026-03-07T03:13:03.0,2026-03-07T03:32:03.0,deep,0.0
2026-03-07,2026-03-07T03:32:03.0,2026-03-07T04:08:03.0,light,1.0
2026-03-07,2026-03-07T04:08:03.0,2026-03-07T04:39:03.0,rem,2.0
2026-03-07,2026-03-07T04:39:03.0,2026-03-07T05:03:03.0,light,1.0
2026-03-07,2026-03-07T05:03:03.0,2026-03-07T05:26:03.0,deep,0.0
2026-03-07,2026-03-07T05:26:03.0,2026-03-07T05:38:03.0,light,1.0
2026-03-07,2026-03-07T05:38:03.0,2026-03-07T06:08:03.0,rem,2.0
2026-03-07,2026-03-07T06:08:03.0,2026-03-07T06:55:03.0,light,1.0
